N,P,K,temperature,humidity,ph,rainfall,crop,location,season,yield
91,40,44,25.88,84.23,5.38,215.37,rice,Western Dry Zone,Rabi,5.13
94,43,45,21.22,82.8,5.81,228.27,rice,Western Dry Zone,Whole Year,5.37
95,47,40,22.42,87.61,5.98,249.98,rice,Central Plateau,Rabi,4.59
90,41,34,21.91,82.19,5.91,231.42,rice,Southern Hills,Zaid,5.9
87,40,41,21.23,86.98,5.88,225.45,rice,Coastal Delta,Whole Year,4.43
89,42,43,22.99,80.77,5.69,197.35,rice,Central Plateau,Whole Year,5.72
101,36,45,25.62,82.85,4.85,214.45,rice,Northeast Plain,Kharif,5.14
81,32,41,22.77,84.44,5.57,249.57,rice,Coastal Delta,Rabi,5.4
92,43,45,23.85,81.25,6.16,233.57,rice,Western Dry Zone,Rabi,4.9
86,43,42,21.62,82.38,6.12,240.71,rice,Western Dry Zone,Kharif,5.64
82,48,48,23.53,85.24,6.15,195.48,rice,Northeast Plain,Zaid,5.0
85,33,34,20.96,78.49,5.44,235.38,rice,Northeast Plain,Kharif,5.03
84,51,33,23.97,82.62,5.65,229.26,rice,Northeast Plain,Whole Year,5.26
89,38,33,24.98,83.75,4.85,242.52,rice,Coastal Delta,Zaid,4.59
93,43,44,21.28,86.0,5.81,242.26,rice,Coastal Delta,Whole Year,4.43
94,43,48,23.48,79.97,6.61,256.05,rice,Western Dry Zone,Kharif,4.61
99,44,38,25.84,82.44,5.39,218.53,rice,Coastal Delta,Rabi,4.77
95,45,35,23.27,81.44,6.64,213.94,rice,Western Dry Zone,Rabi,5.08
77,50,47,23.47,83.1,5.37,250.76,rice,Central Plateau,Zaid,5.77
79,39,34,24.93,86.56,4.97,251.34,rice,Southern Hills,Whole Year,5.22
79,42,38,21.24,83.6,5.55,204.9,rice,Southern Hills,Whole Year,5.56
99,45,43,23.55,80.43,5.32,223.13,rice,Coastal Delta,Rabi,4.8
80,31,45,25.07,82.18,5.24,228.49,rice,Central Plateau,Rabi,5.39
81,40,45,24.09,78.86,5.42,246.65,rice,Northeast Plain,Kharif,4.81
82,32,43,24.9,78.88,6.21,209.28,rice,Coastal Delta,Rabi,5.37
97,36,45,23.0,79.54,5.37,200.56,rice,Western Dry Zone,Kharif,4.7
94,43,43,25.71,83.59,5.58,225.38,rice,Western Dry Zone,Kharif,5.51
97,50,38,21.51,79.6,6.43,207.14,rice,Coastal Delta,Whole Year,5.82
84,42,38,26.69,82.0,5.29,256.5,rice,Central Plateau,Kharif,5.04
96,37,31,24.74,78.88,6.08,235.54,rice,Southern Hills,Rabi,5.66
97,40,33,24.23,81.66,6.1,216.59,rice,Central Plateau,Whole Year,5.57
93,49,39,26.39,83.5,5.34,215.17,rice,Southern Hills,Rabi,5.78
79,44,38,24.72,86.07,5.29,209.12,rice,Western Dry Zone,Zaid,5.42
87,36,40,23.12,85.07,6.26,238.54,rice,Southern Hills,Whole Year,5.14
94,40,42,21.64,83.7,5.37,231.93,rice,Northeast Plain,Kharif,5.16
